10
Ana Silva;25631219101
Bruno Santos;41246013015
Carlos Oliveira;28138552030
Diana Souza;26048021673
Eduardo Lima;86846326096
Fernanda Ferreira;87682810754
Gabriel Costa;16107107737
Helena Pereira;18717912686
Igor Carvalho;41003814027
Julia Alves;93774863057
25631219101;41246013015;1
41246013015;28138552030;9
28138552030;26048021673;4
26048021673;86846326096;9
86846326096;87682810754;7
87682810754;16107107737;4
16107107737;18717912686;8
18717912686;41003814027;10
41003814027;93774863057;5
25631219101;28138552030;7
87682810754;41246013015;2
16107107737;41246013015;6
25631219101;18717912686;9
41246013015;41003814027;5
93774863057;87682810754;10
26048021673;41246013015;1
86846326096;18717912686;6
28138552030;87682810754;6
